,Consultancy Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2018-10-31,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
2018-11-30,0,0,6,10,0,0,0,0,0,0,0,0,0,0,6,0,3
2018-12-31,0,0,0,0,1,0,3,0,3,0,1,13,3,1,2,1,4
